City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
138,Praia Da Vitoria,38.73,-27.07,59.0,72,20,12.73,PT,2020-01-03 19:58:29,few clouds
139,Binzhou,37.38,117.96,36.0,65,67,3.27,CN,2020-01-03 19:58:30,broken clouds
140,Ingham,-18.65,146.16,74.98,86,93,1.57,AU,2020-01-03 19:58:30,overcast clouds
141,Fez,34.03,-5.02,48.2,81,25,8.05,MA,2020-01-03 19:54:31,scattered clouds
142,Omboue,-1.57,9.26,76.05,94,100,4.65,GA,2020-01-03 19:58:31,light rain
143,Torbay,47.66,-52.73,33.01,80,75,28.86,CA,2020-01-03 19:58:31,broken clouds
144,Hervey Bay,-25.3,152.85,70.0,88,0,6.93,AU,2020-01-03 19:58:31,clear sky
145,Shieli,44.18,66.74,37.56,83,100,11.79,KZ,2020-01-03 19:58:32,overcast clouds
146,Mantena,-18.78,-40.98,76.8,86,66,3.76,BR,2020-01-03 19:58:32,moderate rain
147,Tefe,-3.35,-64.71,89.6,59,75,8.05,BR,2020-01-03 19:58:32,broken clouds
148,Iqaluit,63.75,-68.52,6.8,84,75,3.36,CA,2020-01-03 19:54:33,light snow
149,Vila Velha,-3.71,-38.6,86.0,66,40,13.87,BR,2020-01-03 19:58:33,scattered clouds
150,Itaueira,-7.6,-43.03,77.76,79,73,1.01,BR,2020-01-03 19:54:34,broken clouds
151,Ancud,-41.87,-73.83,66.2,77,75,17.22,CL,2020-01-03 19:54:34,light intensity shower rain
152,Kolosovka,56.47,73.61,3.65,92,18,13.85,RU,2020-01-03 19:54:34,few clouds
153,Shenjiamen,29.96,122.3,53.47,93,100,14.05,CN,2020-01-03 19:58:34,light rain
154,Okha,53.59,142.95,-1.77,97,100,9.08,RU,2020-01-03 19:54:35,overcast clouds
155,Churapcha,62.0,132.43,-33.18,96,13,5.99,RU,2020-01-03 19:58:36,few clouds
156,Christchurch,-43.53,172.64,64.99,87,83,4.7,NZ,2020-01-03 19:54:55,light rain
157,Mana,13.03,5.27,62.02,19,12,13.78,NG,2020-01-03 19:58:36,few clouds
158,Ust-Kishert,57.36,57.24,24.8,90,100,20.98,RU,2020-01-03 19:58:37,light snow
159,Katsina,12.99,7.6,60.01,19,36,15.97,NG,2020-01-03 19:58:37,scattered clouds
160,Koumac,-20.56,164.28,73.6,77,55,4.85,NC,2020-01-03 19:58:38,light rain
161,Esperance,-33.86,121.89,53.6,76,90,9.17,AU,2020-01-03 19:58:38,overcast clouds
162,Villarrica,-39.28,-72.23,84.99,57,0,13.87,CL,2020-01-03 19:58:39,clear sky
163,Sortland,68.69,15.42,32.0,80,75,17.22,NO,2020-01-03 19:54:39,light shower snow
164,Labelle,26.76,-81.44,87.01,65,1,14.99,US,2020-01-03 19:58:39,clear sky
165,Clyde River,70.47,-68.59,-23.8,67,40,14.99,CA,2020-01-03 19:54:40,scattered clouds
166,Pisco,-13.71,-76.2,73.0,30,23,20.8,PE,2020-01-03 19:58:40,few clouds
167,Atar,20.52,-13.05,59.41,16,100,11.95,MR,2020-01-03 19:58:40,overcast clouds
168,Vanavara,60.35,102.28,22.71,94,100,9.51,RU,2020-01-03 19:58:41,light snow
169,Vrangel,42.73,133.08,23.11,58,99,16.31,RU,2020-01-03 19:54:42,overcast clouds
170,Cherskiy,68.75,161.3,1.56,67,63,11.45,RU,2020-01-03 19:58:41,broken clouds
171,Bereda,43.27,-7.54,51.01,100,41,1.12,ES,2020-01-03 19:58:42,scattered clouds
172,Sitka,37.17,-99.65,48.0,44,17,11.01,US,2020-01-03 19:54:43,few clouds
173,Romny,50.74,33.49,29.23,93,0,8.7,UA,2020-01-03 19:58:42,clear sky
174,Hami,42.84,93.51,16.0,62,0,1.39,CN,2020-01-03 19:58:43,clear sky
175,College,64.86,-147.8,-5.01,74,1,3.74,US,2020-01-03 19:58:43,mist
176,Aklavik,68.22,-135.01,-14.8,75,90,11.41,CA,2020-01-03 19:58:43,light snow
177,Birao,10.3,22.78,71.1,22,90,8.48,CF,2020-01-03 19:58:44,overcast clouds
178,Sorland,67.67,12.69,39.2,80,75,9.17,NO,2020-01-03 19:58:44,shower rain
179,Lake City,38.03,-107.32,36.0,42,1,4.7,US,2020-01-03 19:58:44,clear sky
180,Progreso,-34.68,-56.22,79.0,57,40,16.11,UY,2020-01-03 19:58:45,scattered clouds
181,Fukue,35.03,136.69,48.2,70,75,16.11,JP,2020-01-03 19:54:46,broken clouds
