City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cabedelo,BR,2020-01-02 20:13:35,-6.97,-34.84,84.2,66,20,10.29
70,Bredasdorp,ZA,2020-01-02 20:12:06,-34.53,20.04,68.0,72,0,3.36
71,Kobelyaky,UA,2020-01-02 20:13:36,49.15,34.2,31.46,81,100,8.12
72,Codrington,AU,2020-01-02 20:13:36,-28.95,153.24,70.0,93,45,1.3
73,Bathsheba,BB,2020-01-02 20:13:36,13.22,-59.52,84.2,58,40,17.22
74,Husavik,CA,2020-01-02 20:13:37,50.56,-96.99,19.0,90,90,5.99
75,Ancud,CL,2020-01-02 20:13:37,-41.87,-73.83,75.2,57,0,8.05
76,Upernavik,GL,2020-01-02 20:13:37,72.79,-56.15,-0.89,59,100,16.51
77,Guerrero Negro,MX,2020-01-02 20:13:38,27.97,-114.04,63.55,61,0,13.58
78,Shimoda,JP,2020-01-02 20:13:38,34.7,138.93,36.0,89,0,30.18
79,Chuy,UY,2020-01-02 20:13:30,-33.69,-53.46,72.46,69,42,13.15
80,Sao Joao Da Barra,BR,2020-01-02 20:13:39,-21.64,-41.05,86.0,74,75,9.17
81,Roma,IT,2020-01-02 20:10:35,41.89,12.48,48.0,81,17,5.82
82,Kisiwani,TZ,2020-01-02 20:13:39,-4.13,37.95,70.36,83,63,0.92
83,Crixas,BR,2020-01-02 20:13:40,-14.55,-49.97,79.21,84,100,4.9
84,Wagar,US,2020-01-02 20:13:40,31.44,-87.99,71.01,42,98,3.0
85,Esperance,AU,2020-01-02 20:12:00,-33.86,121.89,60.8,82,75,12.75
86,Camabatela,AO,2020-01-02 20:11:08,-8.19,15.37,65.61,95,100,3.09
87,Koungheul,SN,2020-01-02 20:13:41,13.98,-14.8,76.87,11,93,10.31
88,Karratha,AU,2020-01-02 20:13:42,-20.74,116.85,84.47,63,100,4.03
89,Soyo,AO,2020-01-02 20:13:42,-6.13,12.37,82.4,88,75,5.82
90,Barrow,AR,2020-01-02 20:13:43,-38.31,-60.23,80.65,42,0,8.63
91,Hithadhoo,MV,2020-01-02 20:13:43,-0.6,73.08,82.96,78,0,13.38
92,Iracoubo,GF,2020-01-02 20:13:44,5.48,-53.21,80.08,72,37,13.6
93,Provideniya,RU,2020-01-02 20:13:44,64.42,-173.23,-12.59,77,0,8.97
94,Nogliki,RU,2020-01-02 20:13:45,51.8,143.14,-0.31,92,100,5.64
95,Male,UA,2020-01-02 20:13:45,50.74,33.7,32.2,94,100,9.44
96,Port Alfred,ZA,2020-01-02 20:13:46,-33.59,26.89,68.0,91,94,1.01
97,Oistins,BB,2020-01-02 20:13:47,13.07,-59.53,84.2,58,40,17.22
98,Airai,TL,2020-01-02 20:12:06,-8.93,125.41,68.2,92,100,1.43
99,Ekhabi,RU,2020-01-02 20:13:47,53.51,142.97,-0.04,93,96,15.26
100,Bandarbeyla,SO,2020-01-02 20:13:48,9.49,50.81,78.1,78,75,17.22
101,Dingle,PH,2020-01-02 20:13:48,11.0,122.67,73.13,94,100,9.53
102,Cayenne,GF,2020-01-02 20:12:15,4.94,-52.33,84.2,66,75,12.75
103,Port Hedland,AU,2020-01-02 20:13:50,-20.31,118.58,80.6,78,93,7.16
104,Nanortalik,GL,2020-01-02 20:13:51,60.14,-45.24,29.43,33,98,5.73
105,Hasaki,JP,2020-01-02 20:11:46,35.73,140.83,32.0,73,20,1.12
106,Tomatlan,MX,2020-01-02 20:13:51,19.93,-105.25,76.64,38,0,4.92
107,Lavrentiya,RU,2020-01-02 20:11:48,65.58,-170.99,-12.59,89,46,13.47
108,Noumea,NC,2020-01-02 20:12:17,-22.28,166.46,78.01,61,87,2.24
109,Alta Floresta,BR,2020-01-02 20:13:52,-9.87,-56.08,84.2,74,20,11.41
110,Jamestown,AU,2020-01-02 20:13:53,-33.21,138.6,75.25,16,64,17.78
111,Salalah,OM,2020-01-02 20:11:42,17.01,54.1,73.4,64,13,2.24
112,Port Hardy,CA,2020-01-02 20:13:54,50.7,-127.42,37.4,93,90,14.99
113,Ribeira Grande,PT,2020-01-02 20:12:16,38.52,-28.7,57.2,67,20,9.17
114,Arraial Do Cabo,BR,2020-01-02 20:11:48,-22.97,-42.02,82.4,74,75,6.93
115,Victoria,BN,2020-01-02 20:13:56,5.28,115.24,80.6,83,75,3.36
116,Elizabeth City,US,2020-01-02 20:10:26,36.3,-76.22,59.0,41,1,13.87
117,Mazagao,BR,2020-01-02 20:13:56,-0.12,-51.29,86.0,70,75,8.05
118,Port Elizabeth,US,2020-01-02 20:13:57,39.31,-74.98,55.0,53,1,4.7
119,Labuan,BN,2020-01-02 20:13:57,5.28,115.24,80.6,83,75,3.36
120,Berlevag,NO,2020-01-02 20:11:50,70.86,29.09,28.4,92,75,14.99
121,Puerto Ayora,EC,2020-01-02 20:13:58,-0.74,-90.35,82.4,65,75,11.41
122,Tuktoyaktuk,CA,2020-01-02 20:13:58,69.44,-133.03,-13.0,75,75,14.99
123,Longyearbyen,NO,2020-01-02 20:13:58,78.22,15.63,5.0,50,0,13.87
124,Tete,MZ,2020-01-02 20:13:59,-16.16,33.59,82.4,78,75,5.82
125,Tasiilaq,GL,2020-01-02 20:13:59,65.61,-37.64,10.4,46,20,33.33
126,Hofn,IS,2020-01-02 20:12:08,64.25,-15.21,24.91,51,37,13.18
127,Shingu,JP,2020-01-02 20:14:00,33.72,135.99,49.05,75,5,14.07
128,Sokolo,ML,2020-01-02 20:14:00,14.74,-6.12,66.56,13,62,13.13
129,Port Lincoln,AU,2020-01-02 20:14:00,-34.72,135.86,77.32,25,72,15.55
130,Marand,IR,2020-01-02 20:09:56,38.43,45.77,30.2,86,20,2.24
131,Mount Isa,AU,2020-01-02 20:14:01,-20.73,139.49,78.8,65,100,5.82
132,Yulara,AU,2020-01-02 20:12:27,-25.24,130.99,82.4,39,28,5.82
133,Itarema,BR,2020-01-02 20:12:00,-2.92,-39.92,80.33,77,57,7.9
134,Lebu,ET,2020-01-02 20:11:46,8.96,38.73,56.1,84,51,0.63
135,Sao Filipe,CV,2020-01-02 20:14:03,14.9,-24.5,70.86,72,100,19.01
136,Coahuayana,MX,2020-01-02 20:12:36,18.62,-100.35,89.19,34,76,3.24
137,Saint George,GR,2020-01-02 20:14:04,39.45,22.34,37.4,64,20,9.17
138,New Norfolk,AU,2020-01-02 20:14:05,-42.78,147.06,60.01,72,75,5.82
139,Laurens,US,2020-01-02 20:14:05,34.5,-82.02,48.2,87,90,6.15
140,Comodoro Rivadavia,AR,2020-01-02 20:14:06,-45.87,-67.48,96.8,18,0,21.92
141,Fairbanks,US,2020-01-02 20:11:46,64.84,-147.72,-5.8,83,75,3.8
142,Kutum,SD,2020-01-02 20:14:06,14.2,24.66,56.35,32,28,9.66
143,Tautira,PF,2020-01-02 20:14:07,-17.73,-149.15,86.0,66,75,12.75
144,Bilibino,RU,2020-01-02 20:14:08,68.06,166.44,-12.96,74,49,3.13
145,Kortkeros,RU,2020-01-02 20:14:08,61.81,51.56,15.8,92,90,13.42
146,Manggar,ID,2020-01-02 20:14:08,-2.88,108.27,80.49,84,100,20.36
147,Barranca,PE,2020-01-02 20:14:09,-10.75,-77.76,70.72,88,12,11.56
148,Kailua,US,2020-01-02 20:14:09,21.39,-157.74,80.6,73,90,4.7
149,Vostok,RU,2020-01-02 20:14:09,46.45,135.83,-9.36,97,100,7.52
150,Namibe,AO,2020-01-02 20:14:10,-15.19,12.15,73.22,80,100,8.77
151,Mecca,SA,2020-01-02 20:12:08,21.43,39.83,72.28,76,3,1.97
152,Emba,CY,2020-01-02 20:14:10,34.81,32.42,53.6,81,75,13.87
153,Vaitape,PF,2020-01-02 20:14:11,-16.52,-151.75,81.12,77,100,13.31
154,Clyde River,CA,2020-01-02 20:14:11,70.47,-68.59,-5.8,83,90,6.93
155,Roald,NO,2020-01-02 20:14:11,62.58,6.12,46.99,87,75,27.51
156,Cherskiy,RU,2020-01-02 20:14:12,68.75,161.3,-1.7,72,28,12.66
157,Galbshtadt,RU,2020-01-02 20:14:12,53.23,78.98,21.79,86,100,13.47
158,Fallon,US,2020-01-02 20:11:02,46.84,-105.12,39.0,86,90,8.05
159,Erzin,TR,2020-01-02 20:14:13,36.95,36.2,50.0,81,75,9.17
160,Omboue,GA,2020-01-02 20:14:13,-1.57,9.26,77.49,91,100,3.4
161,Saskylakh,RU,2020-01-02 20:14:13,71.97,114.09,-17.01,91,5,8.25
162,Bethel,US,2020-01-02 20:14:14,60.79,-161.76,-14.8,75,1,5.82
163,Rabo De Peixe,PT,2020-01-02 20:14:14,37.8,-25.58,57.2,67,20,6.93
164,Takoradi,GH,2020-01-02 20:14:15,4.89,-1.75,81.55,59,26,6.04
165,Georgetown,GY,2020-01-02 20:11:31,6.8,-58.16,86.0,65,20,9.17
166,Port-Cartier,CA,2020-01-02 20:14:16,50.03,-66.88,26.6,58,20,16.11
167,Sabha,LY,2020-01-02 20:14:16,27.03,14.43,48.29,62,0,9.28
168,La Rioja,AR,2020-01-02 20:14:16,-29.41,-66.86,81.36,38,0,11.07
169,Lata,IN,2020-01-02 20:14:17,30.78,78.62,9.21,78,100,7.2
170,Solhan,TR,2020-01-02 20:14:17,38.97,41.05,20.86,87,97,3.89
171,San Quintin,PH,2020-01-02 20:14:18,17.54,120.52,65.98,82,0,6.26
172,Norilsk,RU,2020-01-02 20:14:18,69.35,88.2,-2.2,77,100,17.9
173,Hirara,JP,2020-01-02 20:14:19,24.8,125.28,67.75,64,10,10.98
174,Ouesso,CG,2020-01-02 20:14:20,1.61,16.05,76.17,33,100,1.03
175,Banff,CA,2020-01-02 20:14:20,51.18,-115.57,27.0,43,0,11.99
176,Kruisfontein,ZA,2020-01-02 20:12:01,-34.0,24.73,67.28,84,67,7.45
177,Pirganj,BD,2020-01-02 20:14:21,25.85,88.36,63.64,58,100,2.59
178,Illapel,CL,2020-01-02 20:14:21,-31.63,-71.17,72.9,31,0,10.38
179,Tura,RU,2020-01-02 20:14:21,64.27,100.22,-4.59,94,96,5.44
180,San Patricio,PY,2020-01-02 20:14:22,-26.98,-56.83,87.08,49,77,9.26
181,Caborca,MX,2020-01-02 20:14:22,30.58,-111.1,61.0,45,0,5.99
182,Sokolka,RU,2020-01-02 20:14:22,52.46,43.89,27.36,96,100,12.01
183,Mahibadhoo,MV,2020-01-02 20:14:23,3.78,72.97,81.84,80,60,14.7
184,Campo Alegre,BR,2020-01-02 20:14:24,-9.78,-36.36,82.4,69,20,14.99
185,Souillac,FR,2020-01-02 20:14:24,45.6,-0.6,46.4,87,100,2.24
186,Norman Wells,CA,2020-01-02 20:11:54,65.28,-126.83,-4.0,76,90,13.87
187,Ketchikan,US,2020-01-02 20:14:25,55.34,-131.65,33.8,80,90,23.04
188,Vila Velha,BR,2020-01-02 20:14:25,-3.71,-38.6,86.0,78,75,8.05
189,Atambua,ID,2020-01-02 20:14:26,-9.11,124.89,75.69,87,100,0.58
